asset_id,asset_name,site,asset_type,timestamp,vibration_hz,temp_celsius,rpm,voltage_output
MCE-0001,Wind Turbine 1,"Melbourne West Solar Park, VIC",wind_turbine,2026-03-05T11:19:50.298806,28.38,29.77,14.03,668.0
MCE-0002,Wind Turbine 2,"Hunter Valley Gas Plant, NSW",wind_turbine,2026-03-05T11:19:50.298806,37.55,50.2,9.94,681.11
MCE-0003,Wind Turbine 3,"Newcastle Wind Farm, NSW",wind_turbine,2026-03-05T11:19:50.298806,29.54,32.18,11.08,678.54
MCE-0004,Wind Turbine 4,"Gippsland Hydro Station, VIC",wind_turbine,2026-03-05T11:19:50.298806,22.03,35.08,14.25,653.22
MCE-0005,Wind Turbine 5,"Newcastle Wind Farm, NSW",wind_turbine,2026-03-05T11:19:50.298806,19.52,36.49,9.07,658.56
MCE-0006,Wind Turbine 6,"Sydney North Wind Farm, NSW",wind_turbine,2026-03-05T11:19:50.298806,27.45,34.93,11.26,652.49
MCE-0007,Wind Turbine 7,"Hunter Valley Gas Plant, NSW",wind_turbine,2026-03-05T11:19:50.298806,39.99,36.68,13.39,687.84
MCE-0008,Wind Turbine 8,"Newcastle Wind Farm, NSW",wind_turbine,2026-03-05T11:19:50.298806,15.59,51.42,12.03,669.08
MCE-0009,Wind Turbine 9,"Sydney North Wind Farm, NSW",wind_turbine,2026-03-05T11:19:50.298806,43.28,33.96,10.73,685.67
MCE-0010,Wind Turbine 10,"Newcastle Wind Farm, NSW",wind_turbine,2026-03-05T11:19:50.298806,40.07,41.15,13.14,681.99
MCE-0011,Wind Turbine 11,"Gippsland Hydro Station, VIC",wind_turbine,2026-03-05T11:19:50.298806,41.93,39.65,9.91,669.43
MCE-0012,Wind Turbine 12,"Broken Hill Solar Farm, NSW",wind_turbine,2026-03-05T11:19:50.298806,26.67,45.07,13.59,678.97
