timestamp,asset_id,vibration_hz,temp_celsius,pressure_bar,power_output_mw,operating_hours,status
2026-02-26 13:45:40,MCE-0001,52.45,43.13,3.82,7.5,0.43,HEALTHY
2026-02-26 14:45:40,MCE-0001,41.49,39.07,4.29,6.64,1.95,HEALTHY
2026-02-26 15:45:40,MCE-0001,37.96,44.23,3.27,5.22,2.92,HEALTHY
2026-02-26 16:45:40,MCE-0001,48.63,27.78,2.64,5.11,3.62,HEALTHY
2026-02-26 17:45:40,MCE-0001,29.81,39.96,3.05,4.13,4.66,HEALTHY
2026-02-26 18:45:40,MCE-0001,66.98,46.79,3.53,4.11,5.12,WARNING
2026-02-26 19:45:40,MCE-0001,36.83,40.44,2.92,6.18,6.9,HEALTHY
2026-02-26 20:45:40,MCE-0001,35.99,36.96,3.2,7.88,7.51,HEALTHY
2026-02-26 21:45:40,MCE-0001,44.8,33.48,3.91,4.35,8.67,HEALTHY
2026-02-26 22:45:40,MCE-0001,48.13,27.26,2.84,5.98,9.33,HEALTHY
2026-02-26 23:45:40,MCE-0001,56.08,46.69,3.44,5.41,10.7,HEALTHY
2026-02-27 00:45:40,MCE-0001,22.82,29.59,3.27,6.97,11.55,HEALTHY
2026-02-27 01:45:40,MCE-0001,50.15,29.44,3.66,5.31,12.19,HEALTHY
2026-02-27 02:45:40,MCE-0001,34.85,43.85,4.02,6.82,13.66,HEALTHY
2026-02-27 03:45:40,MCE-0001,32.41,35.75,3.67,6.87,14.38,HEALTHY
2026-02-27 04:45:40,MCE-0001,37.81,38.36,2.95,4.38,15.75,HEALTHY
2026-02-27 05:45:40,MCE-0001,57.19,56.51,3.46,6.91,16.17,HEALTHY
2026-02-27 06:45:40,MCE-0001,50.42,38.47,3.68,7.52,17.57,HEALTHY
2026-02-27 07:45:40,MCE-0001,44.46,54.36,2.19,6.7,18.41,HEALTHY
2026-02-27 08:45:40,MCE-0001,46.31,40.0,3.55,3.47,19.83,HEALTHY
2026-02-27 09:45:40,MCE-0001,41.7,43.87,4.24,5.16,20.3,HEALTHY
2026-02-27 10:45:40,MCE-0001,32.87,34.35,3.96,6.13,21.21,HEALTHY
2026-02-27 11:45:40,MCE-0001,37.05,43.72,3.55,6.87,22.79,HEALTHY
2026-02-27 12:45:40,MCE-0001,34.47,36.22,3.3,4.07,23.61,HEALTHY
2026-02-27 13:45:40,MCE-0001,49.44,45.42,3.5,5.48,24.32,HEALTHY
